Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CYP2U1","Cytochrome P450 Family 2 Subfamily U Member 1","Protein Coding","Q7Z449","55","GC04P107931","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2U1"
"DDHD2","DDHD Domain Containing 2","Protein Coding","O94830","51","GC08P038225","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDHD2"
"WASHC5","WASH Complex Subunit 5","Protein Coding","Q12768","51","GC08M137190","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC5"
"SPG21","SPG21 Abhydrolase Domain Containing, Maspardin","Protein Coding","Q9NZD8","49","GC15M064963","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPG21"
"MRAP","Melanocortin 2 Receptor Accessory Protein","Protein Coding","Q8TCY5","47","GC21P032291","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRAP"
"TMEM230","Transmembrane Protein 230","Protein Coding","Q96A57","47","GC20M005183","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM230"
"POU5F1","POU Class 5 Homeobox 1","Protein Coding","Q01860","59","GC06M100249","1.90694057941437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1"
"CEP63","Centrosomal Protein 63","Protein Coding","Q96MT8","52","GC03P134485","1.90672433376312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP63"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","P19440","62","GC22P024583","1.90637302398682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"PDLIM7","PDZ And LIM Domain 7","Protein Coding","Q9NR12","52","GC05M177483","1.90637302398682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDLIM7"
"IL27","Interleukin 27","Protein Coding","Q8NEV9","48","GC16M045528","1.90632712841034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL27"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","1.90628838539124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"SLC26A4","Solute Carrier Family 26 Member 4","Protein Coding","O43511","55","GC07P107660","1.90577864646912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A4"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","58","GC11M073974","1.90427887439728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"USH2A","Usherin","Protein Coding","O75445","50","GC01M215622","1.90119886398315","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USH2A"
"TRE-TTC3-1","TRNA-Glu (Anticodon TTC) 3-1","RNA Gene","","18","GC01P060692","1.89815449714661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRE-TTC3-1"
"UGT1A1","UDP Glucuronosyltransferase Family 1 Member A1","Protein Coding","P22309","63","GC02P233760","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1"
"IFNA5","Interferon Alpha 5","Protein Coding","P01569","51","GC09M021304","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA5"
"IFNA14","Interferon Alpha 14","Protein Coding","P01570","48","GC09M021239","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA14"
"IFNA6","Interferon Alpha 6","Protein Coding","P05013","48","GC09M022230","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA6"
"IFNA8","Interferon Alpha 8","Protein Coding","P32881","48","GC09P021409","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA8"
"IFNA21","Interferon Alpha 21","Protein Coding","P01568","47","GC09M021165","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA21"
"IFNA4","Interferon Alpha 4","Protein Coding","P05014","46","GC09M021186","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA4"
"IFNA13","Interferon Alpha 13","Protein Coding","P01562","44","GC09M021367","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA13"
"IFNA17","Interferon Alpha 17","Protein Coding","P01571","44","GC09M021227","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA17"
"IFNA16","Interferon Alpha 16","Protein Coding","P05015","43","GC09M021216","1.89545941352844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA16"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","Q13224","65","GC12M013437","1.89442837238312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"MAPK9","Mitogen-Activated Protein Kinase 9","Protein Coding","P45984","61","GC05M182811","1.89432525634766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9"
"MVB12A","Multivesicular Body Subunit 12A","Protein Coding","Q96EY5","41","GC19P140650","1.89422285556793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MVB12A"
"BISPR","BST2 Interferon Stimulated Positive Regulator","RNA Gene","","21","GC19P133878","1.89422285556793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BISPR"
"LOC130063933","ATAC-STARR-Seq Lymphoblastoid Active Region 14268","Functional Element","","2","GC19P139223","1.89422285556793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130063933"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","P13591","61","GC11P112961","1.89390957355499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"MIR342","MicroRNA 342","RNA Gene","","29","GC14P100109","1.89251446723938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR342"
