Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
Endothelin receptor ET-B,EDNRB,P24530,CHEMBL1785,Family A G protein-coupled receptor,0.020178064,18 /  0     
Cathepsin S,CTSS,P25774,CHEMBL2954,Protease,0.020178064,87 /  0     
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.020178064,49 /  0     
Scavenger receptor class B member 1   (by homology),SCARB1,Q8WTV0,CHEMBL1914272,Unclassified protein,0.020178064,15 /  0     
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.020178064,48 /  0     
LDL-associated phospholipase A2,PLA2G7,Q13093,CHEMBL3514,Enzyme,0,7 /  0     
Voltage-gated potassium channel subunit Kv1.5,KCNA5,P22460,CHEMBL4306,Voltage-gated ion channel,0,41 /  0     
Tyrosine-protein kinase BTK,BTK,Q06187,CHEMBL5251,Kinase,0,67 /  0     
Acetyl-coenzyme A transporter 1,SLC33A1,O00400,CHEMBL3638338,Electrochemical transporter,0,40 /  0     
Vanilloid receptor   (by homology),TRPV1,Q8NER1,CHEMBL4794,Voltage-gated ion channel,0,10 /  0     
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0,74 /  0     
Calcitonin gene-related peptide type 1 receptor,CALCRL,Q16602,CHEMBL3798,Family B G protein-coupled receptor,0,30 /  0     
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0,23 /  0     
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0,33 /  0     
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0,63 /  0     
Bone morphogenetic protein 1,BMP1,P13497,CHEMBL3898,Protease,0,65 /  0     
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0,18 /  0     
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,CHEMBL4361,Other cytosolic protein,0,35 /  0     
Matrix metalloproteinase 8,MMP8,P22894,CHEMBL4588,Protease,0,29 /  0     
Ghrelin receptor,GHSR,Q92847,CHEMBL4616,Family A G protein-coupled receptor,0,18 /  0     
Dopamine transporter   (by homology),SLC6A3,Q01959,CHEMBL238,Electrochemical transporter,0,90 /  0     
Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0,33 /  0     
Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0,32 /  0     
Pepsin A,PGA5,P0DJD9,CHEMBL3295,Protease,0,7 /  0     
Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0,16 /  0     
Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0,33 /  0     
Type-1 angiotensin II receptor,AGTR1,P30556,CHEMBL227,Family A G protein-coupled receptor,0,24 /  0     
Mu opioid receptor,OPRM1,P35372,CHEMBL233,Family A G protein-coupled receptor,0,111 /  0     
Squalene synthetase,FDFT1,P37268,CHEMBL3338,Enzyme,0,24 /  0     
Cell division control protein 42 homolog,CDC42,P60953,CHEMBL6088,Unclassified protein,0,1 /  0     
Vascular endothelial growth factor A,VEGFA,P15692,CHEMBL1783,Secreted protein,0,3 /  0     
Alpha-1a adrenergic receptor   (by homology),ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0,49 /  0     
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide,PIK3C2B,O00750,CHEMBL5554,Enzyme,0,2 /  0     
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0,13 /  0     
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0,42 /  0     
Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0,13 /  0     
Tyrosine-protein kinase TXK,TXK,P42681,CHEMBL4367,Kinase,0,2 /  0     
HLA-DR antigens-associated invariant chain,CD74,P04233,CHEMBL4692,Surface antigen,0,8 /  0     
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0,29 /  0     
Neurokinin 1 receptor,TACR1,P25103,CHEMBL249,Family A G protein-coupled receptor,0,31 /  0     
Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0,12 /  0     
Pepsinogen C,PGC,P20142,CHEMBL2136,Protease,0,8 /  0     
Proteasome subunit beta type-9,PSMB9,P28065,CHEMBL1944495,Enzyme,0,6 /  0     
Caspase-1,CASP1,P29466,CHEMBL4801,Protease,0,19 /  0     
Hepatic lipase,LIPC,P11150,CHEMBL2127,Enzyme,0,31 /  0     
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0,3 /  0     
Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0,32 /  0     
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0,21 /  0     
Tyrosine-protein kinase HCK,HCK,P08631,CHEMBL3234,Kinase,0,5 /  0     
Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0,81 /  0     
C-C chemokine receptor type 2,CCR2,P41597,CHEMBL4015,Family A G protein-coupled receptor,0,12 /  0     
MAP kinase p38 gamma,MAPK12,P53778,CHEMBL4674,Kinase,0,4 /  0     
Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0,7 /  0     
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0,9 /  0     
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,DYRK1A,Q13627,CHEMBL2292,Kinase,0,5 /  0     
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0,86 /  0     
Cathepsin E,CTSE,P14091,CHEMBL3092,Protease,0,17 /  0     
Microsomal triglyceride transfer protein large subunit,MTTP,P55157,CHEMBL2569,Other cytosolic protein,0,2 /  0     
Calcium sensing receptor,CASR,P41180,CHEMBL1878,Family C G protein-coupled receptor,0,8 /  0     
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0,28 /  0     
HERG,KCNH2,Q12809,CHEMBL240,Voltage-gated ion channel,0,41 /  0     
